ID,Block/Item,Mod,Unlocalised name,Class
70,Block,Minecraft,tile.pressurePlate,net.minecraft.block.BlockPressurePlate
71,Block,Minecraft,tile.doorIron,net.minecraft.block.BlockDoor
72,Block,Minecraft,tile.pressurePlate,net.minecraft.block.BlockPressurePlate
73,Block,Minecraft,tile.oreRedstone,net.minecraft.block.BlockRedstoneOre
74,Block,Minecraft,tile.oreRedstone,net.minecraft.block.BlockRedstoneOre
75,Block,Minecraft,tile.notGate,net.minecraft.block.BlockRedstoneTorch
76,Block,Minecraft,tile.notGate,net.minecraft.block.BlockRedstoneTorch
77,Block,Minecraft,tile.button,net.minecraft.block.BlockButtonStone
78,Block,Minecraft,tile.snow,net.minecraft.block.BlockSnow
79,Block,Minecraft,tile.ice,net.minecraft.block.BlockIce
80,Block,Minecraft,tile.snow,net.minecraft.block.BlockSnowBlock
81,Block,Minecraft,tile.cactus,net.minecraft.block.BlockCactus
82,Block,Minecraft,tile.clay,net.minecraft.block.BlockClay
83,Block,Minecraft,tile.reeds,net.minecraft.block.BlockReed
84,Block,Minecraft,tile.jukebox,net.minecraft.block.BlockJukeBox
85,Block,Minecraft,tile.fence,net.minecraft.block.BlockFence
86,Block,Minecraft,tile.pumpkin,net.minecraft.block.BlockPumpkin
87,Block,Minecraft,tile.hellrock,net.minecraft.block.BlockNetherrack
88,Block,Minecraft,tile.hellsand,net.minecraft.block.BlockSoulSand
89,Block,Minecraft,tile.lightgem,net.minecraft.block.BlockGlowStone
90,Block,Minecraft,tile.portal,net.minecraft.block.BlockPortal
91,Block,Minecraft,tile.litpumpkin,net.minecraft.block.BlockPumpkin
92,Block,Minecraft,tile.cake,net.minecraft.block.BlockCake
93,Block,Minecraft,tile.diode,net.minecraft.block.BlockRedstoneRepeater
94,Block,Minecraft,tile.diode,net.minecraft.block.BlockRedstoneRepeater
95,Block,Minecraft,tile.lockedchest,net.minecraft.block.BlockLockedChest
96,Block,Minecraft,tile.trapdoor,net.minecraft.block.BlockTrapDoor
97,Block,Minecraft,tile.monsterStoneEgg,net.minecraft.block.BlockSilverfish
98,Block,Minecraft,tile.stonebricksmooth,net.minecraft.block.BlockStoneBrick
99,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroomCap
100,Block,Minecraft,tile.mushroom,net.minecraft.block.BlockMushroomCap
101,Block,Minecraft,tile.fenceIron,net.minecraft.block.BlockPane
102,Block,Minecraft,tile.thinGlass,net.minecraft.block.BlockPane
103,Block,Minecraft,tile.melon,net.minecraft.block.BlockMelon
104,Block,Minecraft,tile.pumpkinStem,net.minecraft.block.BlockStem
105,Block,Minecraft,tile.pumpkinStem,net.minecraft.block.BlockStem
106,Block,Minecraft,tile.vine,net.minecraft.block.BlockVine
107,Block,Minecraft,tile.fenceGate,net.minecraft.block.BlockFenceGate
108,Block,Minecraft,tile.stairsBrick,net.minecraft.block.BlockStairs
109,Block,Minecraft,tile.stairsStoneBrickSmooth,net.minecraft.block.BlockStairs
110,Block,Minecraft,tile.mycel,net.minecraft.block.BlockMycelium
111,Block,Minecraft,tile.waterlily,net.minecraft.block.BlockLilyPad
112,Block,Minecraft,tile.netherBrick,net.minecraft.block.Block
113,Block,Minecraft,tile.netherFence,net.minecraft.block.BlockFence
114,Block,Minecraft,tile.stairsNetherBrick,net.minecraft.block.BlockStairs
115,Block,Minecraft,tile.netherStalk,net.minecraft.block.BlockNetherStalk
116,Block,Minecraft,tile.enchantmentTable,net.minecraft.block.BlockEnchantmentTable
117,Block,Minecraft,tile.brewingStand,net.minecraft.block.BlockBrewingStand
118,Block,Minecraft,tile.cauldron,net.minecraft.block.BlockCauldron
119,Block,Minecraft,tile.null,net.minecraft.block.BlockEndPortal
120,Block,Minecraft,tile.endPortalFrame,net.minecraft.block.BlockEndPortalFrame
121,Block,Minecraft,tile.whiteStone,net.minecraft.block.Block
122,Block,Minecraft,tile.dragonEgg,net.minecraft.block.BlockDragonEgg
123,Block,Minecraft,tile.redstoneLight,net.minecraft.block.BlockRedstoneLight
124,Block,Minecraft,tile.redstoneLight,net.minecraft.block.BlockRedstoneLight
125,Block,Minecraft,tile.woodSlab,net.minecraft.block.BlockWoodSlab
126,Block,Minecraft,tile.woodSlab,net.minecraft.block.BlockWoodSlab
127,Block,Minecraft,tile.cocoa,net.minecraft.block.BlockCocoa
128,Block,Minecraft,tile.stairsSandStone,net.minecraft.block.BlockStairs
129,Block,Minecraft,tile.oreEmerald,net.minecraft.block.BlockOre
130,Block,Minecraft,tile.enderChest,net.minecraft.block.BlockEnderChest
131,Block,Minecraft,tile.tripWireSource,net.minecraft.block.BlockTripWireSource
132,Block,Minecraft,tile.tripWire,net.minecraft.block.BlockTripWire
133,Block,Minecraft,tile.blockEmerald,net.minecraft.block.BlockOreStorage
134,Block,Minecraft,tile.stairsWoodSpruce,net.minecraft.block.BlockStairs
135,Block,Minecraft,tile.stairsWoodBirch,net.minecraft.block.BlockStairs
136,Block,Minecraft,tile.stairsWoodJungle,net.minecraft.block.BlockStairs
137,Block,Minecraft,tile.commandBlock,net.minecraft.block.BlockCommandBlock
138,Block,Minecraft,tile.beacon,net.minecraft.block.BlockBeacon
139,Block,Minecraft,tile.cobbleWall,net.minecraft.block.BlockWall
140,Block,Minecraft,tile.flowerPot,projectzulu.common.blocks.universalpot.BlockUniversalFlowerPot
141,Block,Minecraft,tile.carrots,net.minecraft.block.BlockCarrot
142,Block,Minecraft,tile.potatoes,net.minecraft.block.BlockPotato
143,Block,Minecraft,tile.button,net.minecraft.block.BlockButtonWood
144,Block,Minecraft,tile.skull,net.minecraft.block.BlockSkull
145,Block,Minecraft,tile.anvil,net.minecraft.block.BlockAnvil
146,Block,Minecraft,tile.chestTrap,net.minecraft.block.BlockChest
147,Block,Minecraft,tile.weightedPlate_light,net.minecraft.block.BlockPressurePlateWeighted
148,Block,Minecraft,tile.weightedPlate_heavy,net.minecraft.block.BlockPressurePlateWeighted
149,Block,Minecraft,tile.comparator,net.minecraft.block.BlockComparator
150,Block,Minecraft,tile.comparator,net.minecraft.block.BlockComparator
151,Block,Minecraft,tile.daylightDetector,net.minecraft.block.BlockDaylightDetector
152,Block,Minecraft,tile.blockRedstone,net.minecraft.block.BlockPoweredOre
153,Block,Minecraft,tile.netherquartz,powercrystals.netherores.ores.BlockNetherOverrideOre
154,Block,Minecraft,tile.hopper,net.minecraft.block.BlockHopper
155,Block,Minecraft,tile.quartzBlock,net.minecraft.block.BlockQuartz
156,Block,Minecraft,tile.stairsQuartz,net.minecraft.block.BlockStairs
157,Block,Minecraft,tile.activatorRail,net.minecraft.block.BlockRailPowered
158,Block,Minecraft,tile.dropper,net.minecraft.block.BlockDropper
159,Block,Minecraft,tile.clayHardenedStained,net.minecraft.block.BlockColored
160,Block,BiomesOPlenty,tile.bop.mud,biomesoplenty.blocks.BlockMud
161,Block,BiomesOPlenty,tile.bop.generic.dried_dirt,biomesoplenty.blocks.BlockBOPGeneric
162,Block,BiomesOPlenty,tile.bop.redRocks,biomesoplenty.blocks.BlockBOPRedRock
163,Block,BiomesOPlenty,tile.bop.ash,biomesoplenty.blocks.BlockAsh
164,Block,BiomesOPlenty,tile.bop.generic.ash_stone,biomesoplenty.blocks.BlockBOPGeneric
165,Block,BiomesOPlenty,tile.bop.generic.hard_ice,biomesoplenty.blocks.BlockBOPGeneric
166,Block,BiomesOPlenty,tile.bop.originGrass,biomesoplenty.blocks.BlockOriginGrass
167,Block,BiomesOPlenty,tile.bop.generic.hard_sand,biomesoplenty.blocks.BlockBOPGeneric
168,Block,BiomesOPlenty,tile.bop.generic.hard_dirt,biomesoplenty.blocks.BlockBOPGeneric
169,Block,BiomesOPlenty,tile.bop.holyGrass,biomesoplenty.blocks.BlockBOPGrass
170,Block,Minecraft,tile.hayBlock,net.minecraft.block.BlockHay
171,Block,Minecraft,tile.woolCarpet,net.minecraft.block.BlockCarpet
172,Block,Minecraft,tile.clayHardened,net.minecraft.block.Block
173,Block,Minecraft,tile.blockCoal,net.minecraft.block.Block
174,Block,BiomesOPlenty,tile.bop.flesh,biomesoplenty.blocks.BlockFlesh
200,Block,MoCreatures,tile.MoCDirt,drzhark.mocreatures.block.MoCBlockDirt
201,Block,MoCreatures,tile.MoCGrass,drzhark.mocreatures.block.MoCBlockGrass
202,Block,MoCreatures,tile.MoCStone,drzhark.mocreatures.block.MoCBlockRock
217,Block,dimdoors,tile.BlockLimbo,StevenDimDoors.mod_pocketDim.blocks.BlockLimbo
220,Block,dimdoors,tile.blockDimWallPerm,StevenDimDoors.mod_pocketDim.blocks.BlockDimWallPerm
247,Block,Natura,tile.HeatSand,mods.natura.blocks.nether.HeatSand
248,Block,Natura,tile.TaintedSoil,mods.natura.blocks.nether.TaintedSoil
250,Block,BiomesOPlenty,tile.bop.holyStone,biomesoplenty.blocks.BlockBOPSkystone
251,Block,BiomesOPlenty,tile.bop.generic.holy_dirt,biomesoplenty.blocks.BlockBOPGeneric
252,Block,BiomesOPlenty,tile.bop.longGrass,biomesoplenty.blocks.BlockLongGrass
253,Block,BiomesOPlenty,tile.bop.generic.crag_rock,biomesoplenty.blocks.BlockBOPGeneric
254,Block,ExtrabiomesXL,tile.extrabiomes.redrock,extrabiomes.blocks.BlockRedRock
255,Block,ExtrabiomesXL,tile.extrabiomes.crackedsand,extrabiomes.blocks.GenericTerrainBlock
256,Block,Minecraft,tile.ForgeFiller,null
257,Block,Minecraft,tile.ForgeFiller,null
258,Block,Minecraft,tile.ForgeFiller,null
259,Block,Minecraft,tile.ForgeFiller,null
260,Block,Minecraft,tile.ForgeFiller,null
261,Block,Minecraft,tile.ForgeFiller,null
262,Block,Minecraft,tile.ForgeFiller,null
263,Block,Minecraft,tile.ForgeFiller,null
264,Block,Minecraft,tile.ForgeFiller,null
265,Block,Minecraft,tile.ForgeFiller,null
266,Block,Minecraft,tile.ForgeFiller,null
267,Block,Minecraft,tile.ForgeFiller,null
268,Block,Minecraft,tile.ForgeFiller,null
269,Block,Minecraft,tile.ForgeFiller,null
270,Block,Minecraft,tile.ForgeFiller,null
271,Block,Minecraft,tile.ForgeFiller,null
272,Block,Minecraft,tile.ForgeFiller,null
273,Block,Minecraft,tile.ForgeFiller,null
274,Block,Minecraft,tile.ForgeFiller,null
275,Block,Minecraft,tile.ForgeFiller,null
276,Block,Minecraft,tile.ForgeFiller,null
277,Block,Minecraft,tile.ForgeFiller,null
278,Block,Minecraft,tile.ForgeFiller,null
279,Block,Minecraft,tile.ForgeFiller,null
280,Block,Minecraft,tile.ForgeFiller,null
281,Block,Minecraft,tile.ForgeFiller,null
282,Block,Minecraft,tile.ForgeFiller,null
283,Block,Minecraft,tile.ForgeFiller,null
284,Block,Minecraft,tile.ForgeFiller,null
285,Block,Minecraft,tile.ForgeFiller,null
286,Block,Minecraft,tile.ForgeFiller,null
287,Block,Minecraft,tile.ForgeFiller,null
288,Block,Minecraft,tile.ForgeFiller,null
289,Block,Minecraft,tile.ForgeFiller,null
290,Block,Minecraft,tile.ForgeFiller,null
291,Block,Minecraft,tile.ForgeFiller,null
292,Block,Minecraft,tile.ForgeFiller,null
293,Block,Minecraft,tile.ForgeFiller,null
294,Block,Minecraft,tile.ForgeFiller,null
295,Block,Minecraft,tile.ForgeFiller,null
296,Block,Minecraft,tile.ForgeFiller,null
297,Block,Minecraft,tile.ForgeFiller,null
298,Block,Minecraft,tile.ForgeFiller,null
299,Block,Minecraft,tile.ForgeFiller,null
300,Block,Minecraft,tile.ForgeFiller,null
301,Block,Minecraft,tile.ForgeFiller,null
302,Block,Minecraft,tile.ForgeFiller,null
303,Block,Minecraft,tile.ForgeFiller,null
304,Block,Minecraft,tile.ForgeFiller,null
305,Block,Minecraft,tile.ForgeFiller,null
306,Block,Minecraft,tile.ForgeFiller,null
307,Block,Minecraft,tile.ForgeFiller,null
308,Block,Minecraft,tile.ForgeFiller,null
309,Block,Minecraft,tile.ForgeFiller,null
310,Block,Minecraft,tile.ForgeFiller,null
311,Block,Minecraft,tile.ForgeFiller,null
312,Block,Minecraft,tile.ForgeFiller,null
313,Block,Minecraft,tile.ForgeFiller,null
314,Block,Minecraft,tile.ForgeFiller,null
315,Block,Minecraft,tile.ForgeFiller,null
316,Block,Minecraft,tile.ForgeFiller,null
317,Block,Minecraft,tile.ForgeFiller,null
318,Block,Minecraft,tile.ForgeFiller,null
319,Block,Minecraft,tile.ForgeFiller,null
320,Block,Minecraft,tile.ForgeFiller,null
321,Block,Minecraft,tile.ForgeFiller,null
322,Block,Minecraft,tile.ForgeFiller,null
323,Block,Minecraft,tile.ForgeFiller,null
324,Block,Minecraft,tile.ForgeFiller,null
325,Block,Minecraft,tile.ForgeFiller,null
326,Block,Minecraft,tile.ForgeFiller,null
327,Block,Minecraft,tile.ForgeFiller,null
328,Block,Minecraft,tile.ForgeFiller,null
329,Block,Minecraft,tile.ForgeFiller,null
330,Block,Minecraft,tile.ForgeFiller,null
331,Block,Minecraft,tile.ForgeFiller,null
332,Block,Minecraft,tile.ForgeFiller,null
333,Block,Minecraft,tile.ForgeFiller,null
334,Block,Minecraft,tile.ForgeFiller,null
335,Block,Minecraft,tile.ForgeFiller,null
336,Block,Minecraft,tile.ForgeFiller,null
337,Block,Minecraft,tile.ForgeFiller,null
338,Block,Minecraft,tile.ForgeFiller,null
339,Block,Minecraft,tile.ForgeFiller,null
340,Block,Minecraft,tile.ForgeFiller,null
341,Block,Minecraft,tile.ForgeFiller,null
342,Block,Minecraft,tile.ForgeFiller,null
343,Block,Minecraft,tile.ForgeFiller,null
344,Block,Minecraft,tile.ForgeFiller,null
345,Block,Minecraft,tile.ForgeFiller,null
346,Block,Minecraft,tile.ForgeFiller,null
347,Block,Minecraft,tile.ForgeFiller,null
348,Block,Minecraft,tile.ForgeFiller,null
349,Block,Minecraft,tile.ForgeFiller,null
350,Block,Minecraft,tile.ForgeFiller,null
351,Block,Minecraft,tile.ForgeFiller,null
352,Block,Minecraft,tile.ForgeFiller,null
353,Block,Minecraft,tile.ForgeFiller,null
354,Block,Minecraft,tile.ForgeFiller,null
355,Block,Minecraft,tile.ForgeFiller,null
356,Block,Minecraft,tile.ForgeFiller,null
357,Block,Minecraft,tile.ForgeFiller,null
358,Block,Minecraft,tile.ForgeFiller,null
359,Block,Minecraft,tile.ForgeFiller,null
360,Block,Minecraft,tile.ForgeFiller,null
361,Block,Minecraft,tile.ForgeFiller,null
362,Block,Minecraft,tile.ForgeFiller,null
363,Block,Minecraft,tile.ForgeFiller,null
364,Block,Minecraft,tile.ForgeFiller,null
365,Block,Minecraft,tile.ForgeFiller,null
366,Block,Minecraft,tile.ForgeFiller,null
367,Block,Minecraft,tile.ForgeFiller,null
368,Block,Minecraft,tile.ForgeFiller,null
369,Block,Minecraft,tile.ForgeFiller,null
370,Block,Minecraft,tile.ForgeFiller,null
371,Block,Minecraft,tile.ForgeFiller,null
372,Block,Minecraft,tile.ForgeFiller,null
373,Block,Minecraft,tile.ForgeFiller,null
374,Block,Minecraft,tile.ForgeFiller,null
375,Block,Minecraft,tile.ForgeFiller,null
376,Block,Minecraft,tile.ForgeFiller,null
377,Block,Minecraft,tile.ForgeFiller,null
378,Block,Minecraft,tile.ForgeFiller,null
379,Block,Minecraft,tile.ForgeFiller,null
380,Block,Minecraft,tile.ForgeFiller,null
381,Block,Minecraft,tile.ForgeFiller,null
382,Block,Minecraft,tile.ForgeFiller,null
383,Block,Minecraft,tile.ForgeFiller,null
384,Block,Minecraft,tile.ForgeFiller,null
385,Block,Minecraft,tile.ForgeFiller,null
386,Block,Minecraft,tile.ForgeFiller,null
387,Block,Minecraft,tile.ForgeFiller,null
388,Block,Minecraft,tile.ForgeFiller,null
389,Block,Minecraft,tile.ForgeFiller,null
390,Block,Minecraft,tile.ForgeFiller,null
391,Block,Minecraft,tile.ForgeFiller,null
392,Block,Minecraft,tile.ForgeFiller,null
393,Block,Minecraft,tile.ForgeFiller,null
394,Block,Minecraft,tile.ForgeFiller,null
395,Block,Minecraft,tile.ForgeFiller,null
396,Block,Minecraft,tile.ForgeFiller,null
397,Block,Minecraft,tile.ForgeFiller,null
398,Block,Minecraft,tile.ForgeFiller,null
399,Block,Minecraft,tile.ForgeFiller,null
400,Block,Minecraft,tile.ForgeFiller,null
401,Block,Minecraft,tile.ForgeFiller,null
402,Block,Minecraft,tile.ForgeFiller,null
403,Block,Minecraft,tile.ForgeFiller,null
404,Block,Minecraft,tile.ForgeFiller,null
405,Block,Minecraft,tile.ForgeFiller,null
406,Block,Minecraft,tile.ForgeFiller,null
407,Block,Minecraft,tile.ForgeFiller,null
408,Block,Minecraft,tile.ForgeFiller,null
417,Block,Minecraft,tile.ForgeFiller,null
418,Block,Minecraft,tile.ForgeFiller,null
419,Block,Minecraft,tile.ForgeFiller,null
420,Block,Minecraft,tile.ForgeFiller,null
421,Block,Minecraft,tile.ForgeFiller,null
583,Block,RedLogic,tile.null,mods.immibis.redlogic.gates.GateBlock
588,Block,BetterDungeons,tile.CapsuleStation,chocolate.mods.BD.block.BlockCapsule
589,Block,BetterDungeons,tile.BetterDungeonSpawner,chocolate.mods.BD.block.BlockMobSpawner
590,Block,BetterDungeons,tile.BannerHolder,chocolate.mods.BD.block.BlockBannerStand
591,Block,BetterDungeons,tile.bdTable,chocolate.mods.BD.block.BlockAltar
592,Block,BetterDungeons,tile.bdArmorStand,chocolate.mods.BD.block.BlockArmorStand
600,Block,wildcaves3,tile.stoneStalactiteBlock,wildCaves.BlockStoneStalactite
601,Block,wildcaves3,tile.sandstoneStalactiteBlock,wildCaves.BlockSandstoneStalactite
602,Block,wildcaves3,tile.floraBlock,wildCaves.BlockFlora
603,Block,wildcaves3,tile.decorationsBlock,wildCaves.BlockDecorations
604,Block,wildcaves3,tile.fossilsBlock,wildCaves.BlockFossils
700,Block,MoCreatures,tile.MoCLeaves,drzhark.mocreatures.block.MoCBlockLeaf
701,Block,MoCreatures,tile.MoCLog,drzhark.mocreatures.block.MoCBlockLog
702,Block,MoCreatures,tile.MoCTallGrass,drzhark.mocreatures.block.MoCBlockTallGrass
703,Block,MoCreatures,tile.MoCWoodPlanks,drzhark.mocreatures.block.MoCBlockPlanks
813,Block,RedLogic,tile.null,mods.immibis.redlogic.interaction.BlockLumarButton
882,Block,RedLogic,tile.redlogic.lamp.cube.i,mods.immibis.redlogic.lamps.BlockLampCube.IndicatorOff
1193,Block,RedLogic,tile.null,mods.immibis.redlogic.lamps.BlockLampNonCube
1200,Block,ProjectZulu|Core,tile.aloevera,projectzulu.common.blocks.BlockAloeVera
1201,Block,ProjectZulu|Core,tile.watereddirt,projectzulu.common.blocks.BlockWateredDirt
1202,Block,ProjectZulu|Core,tile.tumbleweed,projectzulu.common.blocks.BlockTumbleweed
1203,Block,ProjectZulu|Core,tile.jasper,projectzulu.common.blocks.BlockJasper
1204,Block,ProjectZulu|Core,tile.palmtreelog,projectzulu.common.blocks.BlockPalmTreeLog
1205,Block,ProjectZulu|Core,tile.palmtreeplank,projectzulu.common.blocks.BlockPalmTreePlank
1206,Block,ProjectZulu|Core,tile.palmtreeleaves,projectzulu.common.blocks.BlockPalmTreeLeaves
1207,Block,ProjectZulu|Core,tile.palmtreesapling,projectzulu.common.blocks.BlockPalmTreeSapling
1208,Block,ProjectZulu|Core,tile.coconut,projectzulu.common.blocks.BlockCoconut
1209,Block,ProjectZulu|Core,tile.quicksand,projectzulu.common.blocks.BlockQuickSand
1210,Block,ProjectZulu|Core,tile.nightbloom,projectzulu.common.blocks.BlockNightBloom
1211,Block,ProjectZulu|Core,tile.creeperblossom,projectzulu.common.blocks.BlockCreeperBlossom
1212,Block,ProjectZulu|Core,tile.spikes,projectzulu.common.blocks.spike.BlockSpikes
1213,Block,ProjectZulu|Core,tile.campfire,projectzulu.common.blocks.BlockCampfire
1214,Block,ProjectZulu|Core,tile.mobskulls,projectzulu.common.blocks.heads.BlockMobHeads
1215,Block,ProjectZulu|Core,tile.tombstone,projectzulu.common.blocks.tombstone.BlockTombstone
1217,Block,ProjectZulu|Core,tile.brewingsingle,projectzulu.common.potion.brewingstands.BlockBrewingStandSingle
1218,Block,ProjectZulu|Core,tile.brewingtriple,projectzulu.common.potion.brewingstands.BlockBrewingStandTriple
1219,Block,ProjectZulu|Core,tile.limitedmobspawner,projectzulu.common.dungeon.BlockLimitedMobSpawner
1220,Block,ProjectZulu|Core,tile.palmtreeslab,projectzulu.common.blocks.BlockZuluSlab
1221,Block,ProjectZulu|Core,tile.palmtreedoubleslab,projectzulu.common.blocks.BlockZuluSlab
1222,Block,ProjectZulu|Core,tile.palmtreestairs,projectzulu.common.blocks.BlockZuluStairs
1275,Block,Mystcraft,tile.myst.bookstand,com.xcompwiz.mystcraft.block.BlockBookstand
1276,Block,Mystcraft,tile.myst.crystal,com.xcompwiz.mystcraft.block.BlockCrystal
1277,Block,Mystcraft,tile.myst.lectern,com.xcompwiz.mystcraft.block.BlockLectern
1278,Block,Mystcraft,tile.myst.linkmodifier,com.xcompwiz.mystcraft.block.BlockLinkModifier
1280,Block,Mystcraft,tile.myst.receptacle,com.xcompwiz.mystcraft.block.BlockBookReceptacle
1281,Block,Mystcraft,tile.myst.starfissure,com.xcompwiz.mystcraft.block.BlockStarFissure
1282,Block,Mystcraft,tile.myst.unstable,com.xcompwiz.mystcraft.block.BlockDecay
1284,Block,Mystcraft,tile.myst.inkmixer,com.xcompwiz.mystcraft.block.BlockInkMixer
1285,Block,Mystcraft,tile.myst.bookbinder,com.xcompwiz.mystcraft.block.BlockBookBinder
1286,Block,Mystcraft,tile.myst.fluid,com.xcompwiz.mystcraft.block.BlockFluidMyst
1440,Block,NetherOres,tile.netherores.ore.0,powercrystals.netherores.ores.BlockNetherOres
1441,Block,NetherOres,tile.netherores.hellfish,powercrystals.netherores.world.BlockHellfish
1442,Block,NetherOres,tile.netherores.ore.1,powercrystals.netherores.ores.BlockNetherOres
1467,Block,TConstruct,tile.Decoration.BrickFancy,tconstruct.blocks.MultiBrickFancy
1468,Block,TConstruct,tile.ToolForge,tconstruct.blocks.ToolForgeBlock
1469,Block,TConstruct,tile.trap.barricade.oak,tconstruct.blocks.traps.BarricadeBlock
1470,Block,TConstruct,tile.landmine,tconstruct.blocks.BlockLandmine
1471,Block,TConstruct,tile.ToolStation,tconstruct.blocks.ToolStationBlock
1472,Block,TConstruct,tile.Frypan,tconstruct.blocks.EquipBlock
1473,Block,TConstruct,tile.LavaTank,tconstruct.blocks.LavaTankBlock
1474,Block,TConstruct,tile.Smeltery,tconstruct.blocks.SmelteryBlock
1475,Block,TConstruct,tile.tconstruct.stoneore,tconstruct.blocks.MetalOre
1476,Block,TConstruct,tile.TConstruct.Soil,tconstruct.blocks.SoilBlock
1477,Block,TConstruct,tile.SearedBlock,tconstruct.blocks.SearedBlock
1478,Block,TConstruct,tile.tconstruct.metalblock,tconstruct.blocks.TMetalBlock
1479,Block,TConstruct,tile.decoration.stoneladder,tconstruct.blocks.StoneLadder
